"STATE","ENROLL","AVG_SCORE","AVG_TOT_EXP"
"ALABAMA",734974,245.900464780877,10.2068903117661
"ALASKA",130755,247.092058712462,22.7015486979465
"ARIZONA",944978,249.039900020763,8.36273437053561
"ARKANSAS",479682,247.781778540976,11.1543543430856
"CALIFORNIA",6226523,244.580033633704,12.5858296837577
"COLORADO",872320,252.528207958098,10.9566237160675
"CONNECTICUT",505366,255.284228704304,20.8614489300824
"DELAWARE",121845,253.808747462987,16.2098814067052
"DISTRICT_OF_COLUMBIA",46155,242.321484943656,29.486339508179
"FLORIDA",2743641,248.207638202274,9.94191623466773
"GEORGIA",1717805,253.592294182453,10.7701997607412
"HAWAII",182384,248.935816581229,13.822506360207
"IDAHO",274131,251.625155384573,7.40346768515783
"ILLINOIS",2047123,249.662272143836,15.8319910430394
"INDIANA",1004215,257.664938894872,11.330804658365
"IOWA",505311,255.04806475846,13.4029419506007
"KANSAS",496920,253.570413233333,12.4280045077679
"KENTUCKY",688475,253.98269666657,10.9733643196921
"LOUISIANA",661015,246.419781196416,12.7641021761987
"MAINE",176176,254.6554097873,14.7362864408319
"MARYLAND",874108,250.265598100851,15.8822742727443
"MASSACHUSETTS",916130,262.785252245154,18.5261032822853
"MICHIGAN",1345009,249.52742638311,13.1916611710405
"MINNESOTA",807044,260.393528255493,14.8317464723113
"MISSISSIPPI",490189,245.857743615931,9.4341957897872
"MISSOURI",892779,253.187170679689,11.8062286411307
"MONTANA",144447,251.371153129401,12.4948320145105
"NEBRASKA",312281,255.968298269889,13.7179207188398
"NEVADA",438948,248.345311777426,9.52979624010133
"NEW_HAMPSHIRE",183039,261.234924647766,16.6342691994602
"NEW_JERSEY",1339230,256.913552265537,21.5121562390329
"NEW_MEXICO",326297,246.027990756999,11.7887721922053
"NEW_YORK",2631532,252.596540460179,24.736385877124
"NORTH_CAROLINA",1465031,251.027929098792,9.5975436697244
"NORTH_DAKOTA",106061,255.224405183904,17.0162642253043
"OHIO",1600222,253.546380631696,14.0991237465802
"OKLAHOMA",671715,250.783074175522,9.20750467087976
"OREGON",570376,251.665887126973,12.2929593811801
"PENNSYLVANIA",1589429,254.0811438259,18.6800700125643
"RHODE_ISLAND",134574,253.150751401547,17.2876855856258
"SOUTH_CAROLINA",737401,249.908308733825,11.9112423226982
"SOUTH_DAKOTA",132836,252.471220763434,11.0269881658587
"TENNESSEE",994530,249.453865903814,9.61512171578535
"TEXAS",5004866,253.204697582919,11.2402192186564
"UTAH",573913,254.89850053227,7.90705559901936
"VERMONT",85184,256.08983571686,23.1195412283997
"VIRGINIA",1279867,258.180960023013,12.5897550292335
"WASHINGTON",1072359,257.837312572217,12.7104244007837
"WEST_VIRGINIA",279565,247.436177915488,12.4013413696278
"WISCONSIN",861813,255.748799177546,13.4062459025334
"WYOMING",93867,255.443096737661,20.6931722543599
