STATE,TEACHERS
Alabama,45000
Alaska,7500
Arizona,61700
Arkansas,37700
California,285500
Colorado,55900
Connecticut,44900
Delaware,9300
Florida,
Georgia,123300
Hawaii,
Idaho,16300
Illinois,140900
Indiana,64000
Iowa,36100
Kansas,36500
Kentucky,46800
Louisiana,44500
Maine,18400
Maryland,
Massachusetts,79200
Michigan,96700
Minnesota,62300
Mississippi,37600
Missouri,68700
Montana,12400
Nebraska,23900
Nevada,25200
New Hampshire,15700
New Jersey,125200
New Mexico,21700
New York,241400
North Carolina,104300
North Dakota,10300
Ohio,122100
Oklahoma,46200
Oregon,31800
Pennsylvania,148800
Rhode Island,
South Carolina,51800
South Dakota,10800
Tennessee,76500
Texas,350800
Utah,27900
Vermont,9400
Virginia,88500
Washington,55500
West Virginia,24200
Wisconsin,66800
Wyoming,8500
