"STATE","TEACHERS","ENROLL","TOTAL_EXPENDITURE","AVG_SCORE","STUDENT_EXP","CLASS_SIZE"
"ALABAMA",45000,734974,7501799,245.900464780877,10.2068903117661,16.33
"ALASKA",7500,130755,2968341,247.092058712462,22.7015486979465,17.43
"ARIZONA",61700,944978,7902600,249.039900020763,8.36273437053561,15.32
"ARKANSAS",37700,479682,5350543,247.781778540976,11.1543543430856,12.72
"CALIFORNIA",285500,6226523,78365958,244.580033633704,12.5858296837577,21.81
"COLORADO",55900,872320,9557682,252.528207958098,10.9566237160675,15.61
"CONNECTICUT",44900,505366,10542667,255.284228704304,20.8614489300824,11.26
"DELAWARE",9300,121845,1975093,253.808747462987,16.2098814067052,13.1
"FLORIDA",148000,2743641,27277049,248.207638202274,9.94191623466773,18.54
"GEORGIA",123300,1717805,18501103,253.592294182453,10.7701997607412,13.93
"HAWAII",21400,182384,2521004,248.935816581229,13.822506360207,8.52
"IDAHO",16300,274131,2029520,251.625155384573,7.40346768515783,16.82
"ILLINOIS",140900,2047123,32410033,249.662272143836,15.8319910430394,14.53
"INDIANA",64000,1004215,11378564,257.664938894872,11.330804658365,15.69
"IOWA",36100,505311,6772654,255.04806475846,13.4029419506007,14
"KANSAS",36500,496920,6175724,253.570413233333,12.4280045077679,13.61
"KENTUCKY",46800,688475,7554887,253.98269666657,10.9733643196921,14.71
"LOUISIANA",44500,661015,8437263,246.419781196416,12.7641021761987,14.85
"MAINE",18400,176176,2596180,254.6554097873,14.7362864408319,9.57
"MARYLAND",65900,874108,13882823,250.265598100851,15.8822742727443,13.26
"MASSACHUSETTS",79200,916130,16972319,262.785252245154,18.5261032822853,11.57
"MICHIGAN",96700,1345009,17742903,249.52742638311,13.1916611710405,13.91
"MINNESOTA",62300,807044,11969872,260.393528255493,14.8317464723113,12.95
"MISSISSIPPI",37600,490189,4624539,245.857743615931,9.4341957897872,13.04
"MISSOURI",68700,892779,10540353,253.187170679689,11.8062286411307,13
"MONTANA",12400,144447,1804841,251.371153129401,12.4948320145105,11.65
"NEBRASKA",23900,312281,4283846,255.968298269889,13.7179207188398,13.07
"NEVADA",25200,438948,4183085,248.345311777426,9.52979624010133,17.42
"NEW HAMPSHIRE",15700,183039,3044720,261.234924647766,16.6342691994602,11.66
"NEW JERSEY",125200,1339230,28809725,256.913552265537,21.5121562390329,10.7
"NEW MEXICO",21700,326297,3846641,246.027990756999,11.7887721922053,15.04
"NEW YORK",241400,2631532,65094591,252.596540460179,24.736385877124,10.9
"NORTH CAROLINA",104300,1465031,14060699,251.027929098792,9.5975436697244,14.05
"NORTH DAKOTA",10300,106061,1804762,255.224405183904,17.0162642253043,10.3
"OHIO",122100,1600222,22561728,253.546380631696,14.0991237465802,13.11
"OKLAHOMA",46200,671715,6184819,250.783074175522,9.20750467087976,14.54
"OREGON",31800,570376,7011609,251.665887126973,12.2929593811801,17.94
"PENNSYLVANIA",148800,1589429,29690645,254.0811438259,18.6800700125643,10.68
"RHODE ISLAND",15900,134574,2326473,253.150751401547,17.2876855856258,8.46
"SOUTH CAROLINA",51800,737401,8783362,249.908308733825,11.9112423226982,14.24
"SOUTH DAKOTA",10800,132836,1464781,252.471220763434,11.0269881658587,12.3
"TENNESSEE",76500,994530,9562527,249.453865903814,9.61512171578535,13
"TEXAS",350800,5004866,56255791,253.204697582919,11.2402192186564,14.27
"UTAH",27900,573913,4537962,254.89850053227,7.90705559901936,20.57
"VERMONT",9400,85184,1969415,256.08983571686,23.1195412283997,9.06
"VIRGINIA",88500,1279867,16113212,258.180960023013,12.5897550292335,14.46
"WASHINGTON",55500,1072359,13630138,257.837312572217,12.7104244007837,19.32
"WEST VIRGINIA",24200,279565,3466981,247.436177915488,12.4013413696278,11.55
"WISCONSIN",66800,861813,11553677,255.748799177546,13.4062459025334,12.9
"WYOMING",8500,93867,1942406,255.443096737661,20.6931722543599,11.04
